"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","psi_95_l","psi_95_h","bias.mean","bias.sd","bias.min","bias.max","cover.true.psi","cover.smooth.true.psi"
"1",0,0.821936264020777,183.310219459886,0.326607560871868,0.00203282704114637,0.321891526747061,0.0282488485021006,0.000554333683789808,0.00816959941534996,-0.974367748842956,0.46125,-1.63894929830499,0.333810449306693,0.00250911521803712,0.320889118630933,-1.70424795114492,0.366781662437336,0.00253677112478903,0.352836397595437,0,0.4,-3.8673247040417,2.867147757144,2.5261842151657,1.75283879998069,-2.82799143962514,6.1943885385532,TRUE,TRUE
"2",0.1,-2.54790392971718,7.7332866032219,0.326076843157385,0.00182254339087889,0.328576990656943,0.0263294283866699,0.000500566329012601,0.00764130924114515,1.73601664697289,0.48875,-1.69620549844166,0.340131748530453,0.00230798776230681,0.3275457930889,-1.79361720652389,0.380226354751325,0.00232889762103575,0.36622698601797,0.1,0.975,-4.40999047806319,-0.88182649172338,-0.754286723193288,2.77198742208782,-2.7143778267154,1.20580438032883,TRUE,TRUE
"3",0.2,NA,4.09403102307551,0.322785440729734,0.0016610523856107,0.331264257954446,0.02414215604564,0.000462194906743028,0.00694987279109557,NA,0.5275,-1.74660080915686,0.341910917147735,0.00211332148488237,0.329790860162289,-1.88194287108397,0.390241877570074,0.00211574498655124,0.376349367360575,0.2,1,NA,NA,NA,NA,Inf,-Inf,NA,NA
"4",0.3,NA,1.88329417177354,0.319357399681538,0.00149477749189397,0.33234226671098,0.0231179072978387,0.000431262345484567,0.00663764268893987,NA,0.545,-1.79638266715773,0.343519864644676,0.00194143223189639,0.331817292820101,-1.97494481571898,0.396535966045686,0.00189495982130805,0.38288046494405,0.3,1,NA,NA,NA,NA,Inf,-Inf,NA,NA
"5",0.4,-1.78663933289829,3.53000232651145,0.32002378702603,0.00160032347761322,0.325859395337054,0.04366761602854,0.000749665868268982,0.0123708001934399,-2.26997270049975,0.3975,-1.94122672997163,0.364511276329963,0.00168110729801098,0.352798509695775,-2.06577616237805,0.398922333786082,0.00168177431175191,0.38565074543027,0.4,0.625,-2.1037107638466,-1.71501618031802,0.279136829479756,0.138767015176332,-0.0532689589539741,0.442944415829834,TRUE,TRUE
"6",0.5,-1.30618313072586,2.70691201691385,0.308088590615756,0.00136990106234773,0.322839401056931,0.0288518122351191,0.000519581531349975,0.00814301719682405,-2.37198254378693,0.5425,-1.90637615055878,0.34409824695723,0.00161136133095601,0.333255942958239,-2.15870346362829,0.397329831578688,0.00147662751284489,0.384542381291475,0.5,0.85,-2.25360392467931,-1.03750695784163,0.852520332902425,0.416679266339101,-0.310070356191637,1.12831250990605,TRUE,TRUE
"7",0.6,-1.55601069801535,3.04326965741531,0.308188722525693,0.00119130157782368,0.326418634875364,0.0352806504886975,0.000523566520665233,0.0103074846366481,-2.72947514885556,0.42,-2.03217062669262,0.355944480278485,0.00136168599153967,0.345553956056535,-2.24930809977801,0.391805971182121,0.00128673183954104,0.379606243311582,0.6,0.925,-3.13207089334299,-0.460485746185745,0.693297401762658,1.19079517402911,-0.921226389291518,1.99891192777231,TRUE,TRUE
"8",0.7,-2.66643679372857,3.14601370195184,0.310141904492636,0.00102662280669741,0.326162904398589,0.0426949726014469,0.000508009826742406,0.0124594438535321,-3.10138385560518,0.32375,-2.10502566338318,0.358591189165151,0.00115538502313353,0.349108581911889,-2.33651219580404,0.382514570662924,0.0011124047290477,0.371006641497957,0.7,0.8625,-4.58683460991674,-1.19935775076831,-0.32992459792453,1.10909524424802,-2.65545401257109,1.14172219468238,TRUE,TRUE
"9",0.8,-2.82533912238208,2.00619298706904,0.28614520894003,1.31963589494999e+47,0.309184177068654,0.026544121426648,4.43932922416391e+46,0.00762682931442652,-3.08104722542668,0.56375,-2.06351343965337,0.323278953769707,0.00118402957904309,0.313956396668919,-2.42774749763773,0.369727684111432,0.000949520888915618,0.358966455315518,0.8,0.975,-3.33405563210894,-2.37017171894225,-0.397591624744348,0.757298723640883,-0.933082687614733,0.137899438126038,TRUE,FALSE
"10",0.9,NA,0.949698755334209,0.263263326103329,0.000896887034378035,0.281467380032979,0.0147708685412355,0.000270367903862598,0.00420733580861137,NA,0.80625,-2.01182820820965,0.285844448674982,0.0011561815004529,0.277199709280523,-2.51919970377272,0.35381237049778,0.000801585403087508,0.343857758658379,0.9,1,NA,NA,NA,NA,Inf,-Inf,NA,NA
"11",1,NA,0.939461040290306,0.249296453385227,0.000848587059822292,0.264549406296284,0.0128869363505626,0.000247240033285059,0.00368210295337029,NA,0.8825,-2.02276358778848,0.268906409212498,0.00107349414234744,0.260791666709123,-2.61021981755574,0.335213199487106,0.000670616327754598,0.326091449043381,1,1,NA,NA,NA,NA,Inf,-Inf,NA,NA
